Time [s],Channel,Value
-0.010184225,2,16758569
-0.010182075,1,16760103
-0.010179900,2,16758569
-0.010177750,1,16760103
-0.010175600,2,16758569
-0.010173425,1,16759886
-0.010171275,2,16757763
-0.010169100,1,16759886
-0.010166950,2,16757763
-0.010164800,1,16759886
-0.010162625,2,16757763
-0.010160475,1,16759886
-0.010158300,2,16757763
-0.010156150,1,16759193
-0.010153975,2,16757671
-0.010151825,1,16759193
-0.010149675,2,16757671
-0.010147500,1,16759193
-0.010145350,2,16757671
-0.010143175,1,16759193
-0.010141025,2,16757671
-0.010138875,1,16759193
-0.010136700,2,16757671
-0.010134550,1,16758617
-0.010132375,2,16756819
-0.010130225,1,16758617
-0.010128050,2,16756819
-0.010125900,1,16758617
-0.010123750,2,16756819
-0.010121575,1,16758617
-0.010119425,2,16756819
-0.010117250,1,16758617
-0.010115100,2,16756819
-0.010112925,1,16757823
-0.010110775,2,16756313
-0.010108625,1,16757823
-0.010106450,2,16756313
-0.010104300,1,16757823
-0.010102125,2,16756313
-0.010099975,1,16757823
-0.010097825,2,16756313
-0.010095650,1,16757823
-0.010093500,2,16756313
-0.010091325,1,16757450
-0.010089175,2,16755559
-0.010087000,1,16757450
-0.010084850,2,16755559
-0.010082700,1,16757450
-0.010080525,2,16755559
-0.010078375,1,16757450
-0.010076200,2,16755559
-0.010074050,1,16757071
-0.010071875,2,16755541
-0.010069725,1,16757071
-0.010067575,2,16755541
-0.010065400,1,16757071
-0.010063250,2,16755541
-0.010061075,1,16757071
-0.010058925,2,16755541
-0.010056775,1,16757071
-0.010054600,2,16755541
-0.010052450,1,16756831
-0.010050275,2,16755147
-0.010048125,1,16756831
-0.010045950,2,16755147
